2018/10/02/14:03:26.375748;;;401;-1807;15793;66;56;72;-591;-169;1155;5;222;31;0
2018/10/02/14:03:26.387761;;;209;-2079;16161;-26;62;-154;-591;-169;1155;73;222;31;0
2018/10/02/14:03:26.404749;;;417;-2047;16113;-22;-72;-80;-623;-124;1162;141;222;31;0
2018/10/02/14:03:26.416758;;;385;-2047;15969;6;56;-48;-623;-124;1162;209;222;31;0
2018/10/02/14:03:26.428759;;;337;-1823;15985;60;-34;24;-623;-124;1162;21;223;31;0
2018/10/02/14:03:26.441750;;;305;-1823;15825;8;-4;76;-584;-156;1168;89;223;31;0
2018/10/02/14:03:26.457759;;;289;-1791;16097;-8;-12;-50;-584;-156;1168;157;223;31;0
2018/10/02/14:03:26.469762;;;417;-1807;15745;-18;34;76;-584;-156;1168;225;223;31;0
2018/10/02/14:03:26.482750;;;385;-1791;15745;-6;14;-32;-597;-150;1209;37;224;31;0
2018/10/02/14:03:26.494748;;;289;-1807;15857;-62;-8;96;-597;-150;1209;105;224;31;0
2018/10/02/14:03:26.510675;;;401;-2015;15601;24;28;-178;-635;-130;1189;173;224;31;0
2018/10/02/14:03:26.522754;;;497;-1855;15425;-62;44;-28;-635;-130;1189;241;224;31;0
2018/10/02/14:03:26.535752;;;321;-1983;15633;-26;6;4;-597;-143;1182;70;225;31;0
2018/10/02/14:03:26.547762;;;545;-1871;15633;-104;36;-14;-597;-143;1182;138;225;31;0
2018/10/02/14:03:26.559756;;;481;-1775;15953;-46;34;-2;-597;-143;1182;206;225;31;0
2018/10/02/14:03:26.576772;;;465;-2047;15713;-44;-42;58;-591;-169;1202;18;226;31;0
2018/10/02/14:03:26.588777;;;449;-1999;15809;34;78;48;-591;-169;1202;86;226;31;0
2018/10/02/14:03:26.600685;;;401;-2015;15793;-14;6;-30;-584;-183;1202;154;226;31;0
2018/10/02/14:03:26.613752;;;481;-1967;15569;46;4;104;-584;-183;1202;222;226;31;0
2018/10/02/14:03:26.629692;;;337;-2031;15889;36;52;24;-584;-183;1202;34;227;31;0
2018/10/02/14:03:26.641756;;;353;-2287;15697;-52;-74;32;-578;-189;1202;102;227;31;0
2018/10/02/14:03:26.654760;;;401;-2175;15425;100;4;-104;-578;-189;1202;170;227;31;0
